,nome_agriturismo,indirizzo_agriturismo,telefono,attivo_da,pec,sito_internet,malga,azienda_zootecnica,fattoria_didattica,tot_posti_letto,tot_posti_tavola,degustazione,colazione,class_margherite,altitudine,latitudine,longitudine,comune,cap
262,LA STRIA DI BO',LOCALITÀ BÒ - VIA DEI CAMPI 25,0465503023,2012,mauro.povinelli@pec.agritel.it,,NO,SI,SI,0,0,SI,NO,2.0,0,44.58997,10.87769,Carisolo,38080
263,AGRIBALDO,LOCALITÀ FESTA 6/A,3484905433,2013,angelo.schelfi@pec.agritel.it,,NO,SI,NO,12,0,NO,NO,3.0,0,38.5,-0.5,Brentonico,38060
264,AGRICAMPEGGIO PAOLINO,LOCALITÀ PIETRAMURATA - VIA MAROCCHE 7,3492894600,2012,paolo.matteotti@pec.cgn.it,,NO,NO,NO,0,0,NO,NO,2.0,0,0.0,0.0,Dro,38074
265,AGRITUR MASO BARCO,LOCALITÀ MASO BARCO 12,3402248073,2013,agriturmasobarco@pec.it,,NO,NO,NO,20,0,NO,SI,2.0,0,46.2002428,11.1435981,San Michele all'Adige,38010
266,AGRITURISMO LA VAL,VIA BERSAGLIO 24,3332358694,2013,franco.debiasi@pec.agritel.it,,NO,NO,SI,16,25,SI,SI,3.0,0,45.998259,11.1942939,Altopiano della Vigolana,38049
267,SOTO AL CROZ,FRAZIONE MAGRÈ,3395613802,2013,sotoalcroz@cia.legalmail.it ,,NO,SI,SI,0,0,NO,NO,2.0,0,45.94265,11.28069,Lavarone,38046
268,MADONNA DELLE VITTORIE,VIA LINFANO 81,0464505542,2013,madonnadellevittorie@legalmail.it ,www.madonnadellevittorie.it,NO,NO,NO,10,60,SI,NO,3.0,90,45.8801723,10.8749659,Arco,38062
269,MASO BO`TES,FRAZ. VARIGNANO - LOC. OLIF DE BÒTES N. 1,0464510048,2013,masobotes@pec.postapat.info,www.agriturismomasobotes.it,NO,NO,NO,14,0,SI,SI,4.0,200,47.27541,8.4897,Arco,38062
270,AGRITUR AGUA BIENCIA,LOCALITÀ RAMON - PERA DI FASSA,0335308259,2013,chenettisilvano@pec.coldiretti.it,,NO,SI,NO,16,45,SI,SI,4.0,0,28.9383,53.6482,Pozza di fassa,38036
271,AGRITUR LA CORT,VIA PASSIRONE 29,3338797212,2013,bettarudi@legalmail.it,www.agriturlacort.it,NO,NO,NO,24,0,NO,SI,3.0,150,45.8988941,10.8632275,Arco,38062
272,AGRITUR MASO SANTA LUCIA,LOCALITÀ SANTA LUCIA 3,0464504008,2013,masosantalucia@legalmail.it,www.agritursantalucia.com,NO,NO,NO,24,0,SI,SI,4.0,120,45.9538667,10.9096234,Dro,38074
273,AGRITUR AL CANYON,VIA G. DE MARTINI 42,3392835358,2008,franchandrea@cia.legalmail.it,www.agrituralcanyon.it,NO,NO,SI,18,10,SI,SI,4.0,726,44.92405,7.43627,Novella,38021
274,MALGA VALMAGGIORE,LOCALITÀ VALMAGGIORE,3281876278,2013,sabrina.giacomelli@pec.agritel.it,,SI,SI,NO,0,58,NO,NO,2.0,0,45.75659,8.27829,Predazzo,38037
275,MALGA SUSINE,LOCALITÀ POLSA,044235107,2013,societaagricolafaben@legalmail.it,www.malgasusine.it,SI,SI,NO,0,30,SI,NO,3.0,1300,45.78327,10.94303,Brentonico,38060
276,AGRITUR EL MAS,STRADA SASLONCH 176,3405831022,2013,michelangelo.croce@pec.agritel.it,WWW.AGRITURELMAS.IT,NO,SI,SI,16,35,SI,SI,,0,46.3812998,11.6613068,Moena,38035
277,AGRITUR PARADISO,LOCALITÀ TRENCA,3287479787,2013,agriservizitn@pec.it,,NO,SI,NO,0,15,NO,NO,3.0,0,0.0,0.0,Roncegno terme,38050
278,MALGA CASAPINELLO,LOC. CASAPINELLO,3287479787,2014,agriservizitn@pec.it,,SI,SI,NO,10,10,NO,SI,2.0,0,0.0,0.0,Ronchi Valsugana,38050
279,AGRITUR MASO MOLIN,"LOC. LAGORAI, 3/A - FRAZ.MASI",0462230753,2013,masomolin@legalmail.it,,NO,SI,NO,21,0,NO,SI,2.0,1000,0.0,0.0,Cavalese,38033
280,AGRITUR RIZZI DI INAMA UGO,VIA APENA N. 8,3283633973,2013,ugo.inama@pec.it,,NO,NO,NO,19,0,NO,SI,0.0,0,46.3498085,11.0842682,Predaia,38012
281,MALGA BORDOLONA,LOCALITÀ ALPE BORDOLONA,3483695792,2013,alessandri.luca@cia.legalmail.it,,SI,SI,NO,17,60,SI,NO,2.0,0,0.0,0.0,Bresimo,38020
282,ANEGHE TANEGHE S.S.A.,VIA S.ANTONIO N.3 - FR.GRUMO,49-3643002,2013,aneghetaneghe@cia.legalmail.it,,NO,NO,SI,0,0,NO,NO,1.0,180,0.0,0.0,San Michele all'Adige,38010
283,AGRITUR GALENO,VIA CIMA NORA 34,0464789723,2013,obarlaitn@pec.agritel.it,,NO,SI,NO,24,60,NO,SI,4.0,0,45.9201835,11.3278436,Luserna,38040
284,BERRY HOUSE,LOCALITÀ POZZE 2,0461847019,2013,alessandra.paoli@pec.it,,NO,NO,SI,16,25,SI,SI,5.0,0,47.28167,8.45023,Altopiano della Vigolana,38049
285,AGRITUR MASO LENA,VIA SALITA ALLA CASCATA 3,3407128301,2013,fabio.dellagiacoma@pec.agritel.it,,NO,SI,NO,24,60,SI,SI,4.0,0,26.91667,87.91667,Predazzo,38037
286,MALGA BOCCHE,LOCALITÀ BOCE,3407128301,2014,fabio.dellagiacoma@pec.agritel.it,,SI,SI,NO,0,30,SI,NO,2.0,0,47.50678,-0.0821,Moena,38035
287,AGRITUR DAL PEROTIN,VIA BRENTA 70/A,3473133893,2013,PEROTIN.F@PEC.IT,,NO,NO,SI,7,25,SI,SI,4.0,0,46.005316,11.2721953,Caldonazzo,38052
288,AGRITUR RUATTI,FRAZIONE PRACORNO 95/A,0463901070,2013,aziendaruatti@cia.legalmail.it,www.agriturruatti.it,NO,SI,SI,30,40,SI,SI,4.0,1095,38.5,-0.5,Rabbi,38020
289,MASO SPERON D'ORO,FRAZ. MARCO - LOC. GAZZI 24,0464943189,2014,masosperondoro@pec.it,,NO,NO,NO,25,0,NO,NO,4.0,0,45.37398,10.74638,Rovereto,38068
290,AGRITUR SOLE LEVANTE,VIA DEGLI ALPINI 14,0463902690,2013,pancheri.lino@cia.legalmail.it,,NO,SI,NO,14,#VALORE!,SI,SI,3.0,0,46.3212673,11.0686337,Malé,38027
291,MALGA VALPIANA,LOC. VALPIANA,0463902690,2014,pancheri.lino@cia.legalmail.it,,SI,SI,NO,0,35,SI,NO,,0,43.00479,10.85032,Ossana,38026
292,AGRITUR MELANGO,VIA DANTE ALIGHIERI 7/B,3409191240,2013,bruno.lorenzetti@pec.agritel.it,,NO,NO,NO,3,0,NO,SI,2.0,0,46.453699,11.1198338,Borgo d'Anaunia,38013
293,NATURA AL TROTTO,FRAZ. MIOLA LOC. POGGIO DEI PINI,3498646041,2012,maria.moser1968@pec.agritel.it,,NO,NO,SI,0,0,NO,NO,2.0,0,39.14717,8.97139,Baselga di Pinè,38042
294,AGRITUR CASA PRETI,VIA NAZIONALE 22,0463432733,2014,donatopreti@pec.it,,NO,NO,NO,12,0,NO,SI,,0,46.3926903,11.0470778,Novella,38021
295,AGRITUR CALCAIOL,VIA DEI BERGAMINI 6,0461231684,2014,bampi.iobstraibizer@pec.coldiretti.it,,NO,SI,NO,0,60,SI,NO,4.0,0,46.0834468,11.144134,Trento,38121
296,AZIENDA AGRICOLA AI MASI,VIA S. DESIDERIO 11,0461721283,2014,aimasi@pec.confagricolturatn.it,,NO,NO,SI,0,0,NO,NO,2.0,0,46.022354,11.3595777,Novaledo,38050
297,AGRITUR VENTO ALPINO,VIA CANESTRINI 4,3404733135,2014,tavonattig@pec.it,,NO,NO,NO,12,0,NO,SI,2.0,0,46.3598901,11.0929463,Predaia,38012
298,AGRITUR BAITE DI PRA',FRAZ. BORZAGO - LOCALITÀ PRÀ,3357469189,2014,m2gaziendaagricola@legalmail.it,www.baitedipra.it,NO,NO,NO,15,25,NO,SI,4.0,1000,45.354,11.98225,Spiazzo,38088
299,MALGA VERNERA,LOCALITÀ VERNERA,3487262350,2014,remo.bazzanella@pec.agritel.it,,SI,SI,SI,0,50,SI,NO,2.0,0,44.51177,7.87831,Sover,38048
300,AGRITUR LASTE ROSSE,VIA 4 NOVEMBRE 33,3483345105,2014,pietropancheri@pec.it,,NO,NO,NO,0,0,SI,NO,,0,46.4305059,11.1053373,Novella,38021
301,AGRITUR MELISSA,VIA NAZIONALE 87,3358281980,2014,massimo.valorz@pec.agritel.it,www.agriturmelissa.it,NO,NO,NO,7,0,NO,SI,3.0,720,46.3440823,10.9026236,Croviana,38027
302,AGRITUR MAJON DA MONT,VIA STRADA DE VAL 11,3299355396,2014,filippo.rasom@pecagrotecnici.it,,NO,SI,NO,18,27,SI,SI,4.0,0,51.79495,3.91416,Vigo di fassa,38039
303,WINEVISTA,VIA VERDI 6,0464696116,2014,albinomartinelli@pec.it,,NO,NO,SI,0,0,SI,NO,2.0,0,26.66667,87.16667,Ala,38061
304,VERDEPIANO,VIA FANGOLINO 3,3336917855,2014,frizziamministrazione@pec.it,,NO,NO,NO,24,0,NO,NO,2.0,0,26.91667,87.91667,Riva del Garda,38066
305,CASA FABRI,VIA TRENTO 1/A,0463536878,2014, fausto.rizzardi@pec.agritel.it,,NO,NO,NO,6,0,NO,SI,2.0,0,46.347601,11.0827121,Predaia,38012
306,AGRITUR MALGA VALLAZZA,LOCALITÀ PASSO VALLES,3472609195,2012,maria.turra1964@pec.agritel.it,,SI,SI,NO,0,60,SI,NO,,0,46.33861,11.80039,Primiero San Martino di Castrozza,38054
307,AGRITUR LA DASA,LOCALITÀ DERCO 5,3475981396,2014,az.agricola.batisti@pec.agritel.it,,NO,SI,SI,14,40,SI,SI,,0,26.66667,87.5,Ledro,38067
308,AGRITUR AL RESTELAR,VIA MAS DAL CLOMPER,0463874546,2014,m.franch@pec.it,,NO,NO,NO,7,0,NO,SI,4.0,0,0.0,0.0,Novella,38021
309,AGRITUR AI STORTI,LOCALITÀ AI STORTI 4/Y,3332721102,2014,lino.frapporti@pec.agritel.it,,NO,NO,NO,0,25,SI,NO,2.0,200,62.16129,-149.85075,Isera,38060
310,DALLA NATURA LA SALUTE,VIA ALLA SEGA 5,3284263535,2014,dallanaturalasalute@pec.it,www.dallanaturalasalute.com,NO,NO,SI,18,0,SI,SI,5.0,0,46.147379,10.7715079,Giustino,38086
311,CASARIGA,LOCALITÀ POIA - VIA COL LONGHE 2,3336830517,2014,riga.info@arubapec.it,www.casariga.it,NO,NO,NO,21,0,NO,SI,4.0,0,47.28167,8.45023,Comano Terme,38077
312,AGRITUR MALGA POZZA,LOCALITÀ ALPE LUSIA,3408492019,2014,sara.defrancesco@pec.agritel.it,,SI,SI,NO,0,30,NO,NO,2.0,0,60.0,100.0,Moena,38035
313,AGRITUR LA META,FRAZ. POR - LOC. GNAVAL,3356215914,2014,marina.finazzi@pec.agritel.it,,NO,SI,NO,9,0,SI,SI,2.0,0,0.0,0.0,Pieve di Bono-Prezzo,38085
314,AGRITUR GIRASOLE,VIA ALLE LATE 12,3294058218,2014,emilio.ress@pec.agritel.it,,NO,NO,SI,21,0,NO,SI,3.0,0,46.1804905,11.0742778,Fai della Paganella,38010
315,AGRITUR LINDA,VIA S. ISIDORO 12,3473576904,2014,luigi.menegatti@pec.agritel.it,NO SITO,NO,NO,NO,16,0,NO,SI,2.0,0,45.9057051,10.868103,Arco,38062
316,CASADIPOIA,VIA MAZZINI 17 - LOC. POIA,0335227157,2015,alberto.leoni@geopec.it,NO SITO,NO,NO,NO,6,0,NO,NO,2.0,0,46.02845,10.87934,Comano Terme,38077
317,FLORICOLTURA SIRIANNI,VIA SPINE 2,3389196969,2015,michela.sirianni@pec.agritel.it,NO SITO,NO,NO,SI,0,0,NO,NO,2.0,575,47.28167,8.45023,Borgo Lares,38079
318,AGRITUR COBEI,"LOC. MASI DI SORNI, PANIZZA DI SOPRA 22",3319672482,2015,cobelli@pec.it,www.cobelli.it,NO,NO,NO,11,25,SI,SI,4.0,280,46.16858,11.12528,Lavis,38015
319,AGRITUR AL MANIERO,LOCALITÀ LE MARTINELLE 20,3467566096,2015,aziendagricolapedron@pec.it,www.agriturismoalmaniero.it,NO,NO,NO,16,0,NO,SI,2.0,0,46.0054846,11.1412772,Trento,38121
320,MASO BERGOT,VIA CERERE 61,3472197471,2015,info@pec.masobergot.it,,NO,NO,NO,18,0,NO,SI,2.0,0,45.9123668,10.8693566,Arco,38062
321,AGRITUR LA CIASA DEL FABIO,VIA DEL LAZARET 6,0329911003,2015,vittorio.dalri@pec.agritel.it,,NO,NO,NO,16,0,NO,SI,3.0,0,46.3302311,11.0390652,Ville d'Anaunia,38019
322,AGRITUR MASO CIPRIANNA DI ZAPPINI LINA,LOCALITÀ SERRA 1,0463985441,2015,lina.zappini@pec.agritel.it,,NO,SI,NO,10,0,SI,SI,2.0,0,47.27541,8.4897,Rabbi,38020
323,SOGNO IN BAITA,FRAZ. MIOLA LOC. FOVO ALTO,3317486194,2015,sognoinbaita@pec.cgn.it,,NO,NO,NO,12,0,NO,NO,2.0,0,34.46732,-83.57378,Baselga di Pinè,38042
324,FATTORIA DIDATTICA VALTRESIN,STRADA PER VALTRESIN 14,3477756808,2015,valtresin@pec.agritel.it,,NO,SI,SI,0,0,SI,NO,3.0,0,46.3088213,10.7556695,Pellizzano,38020
325,MALGA VALLORSARA,LOCALITÀ VALLE ORSARA,0464723165,2015,masoengher@cia.legalmail.it,,SI,SI,SI,10,60,SI,SI,,0,42.81667,13.31667,Folgaria,38064
326,AGRITURISMO MASO ALTO,LOCALITÀ MASI ALTI DI PRESSANO 9,3406645300,2015,andrea.simoni@pec.agritel.it,WWW.MASOALTO.COM,NO,NO,NO,12,0,SI,SI,3.0,0,27.58333,87.33333,Lavis,38015
327,AZIENDA AGRICOLA LE MANDRE,VIA S. OSVALDO 37,0461556709,2015,morenocasagranda@pec.coldiretti.it,www.lemandre.com,NO,SI,SI,0,60,SI,NO,3.0,0,0.0,0.0,Bedollo,38043
328,MALGA TRAT,FRAZ. LOCCA,3454466674,2015,lagenziana.sartori@pec.coldiretti.it,,SI,SI,NO,0,28,SI,NO,2.0,1502,45.89956,10.72532,Ledro,38067
329,AGRITUR AL MASO,LOCALITÀ MASO RAUTI 7,3356762208,2015,pio.depaoli@pec.it,,NO,NO,NO,11,0,SI,SI,,800,45.67329,20.93277,Predaia,38012
330,NESTALP MALGA CAMPO,LOCALITÀ MALGA CAMPO,3355459515,2015,alberto.podetti@pec.agritel.it,www.nestalp.com,SI,SI,NO,16,80,NO,SI,4.0,0,32.60645,-116.46891,Peio,38024
331,MASO SPEZIAL,LOCALITÀ CESUINO CIVICO 17,3288546068,2015,masospezial@pec.agritel.it,WWW.MASOSPEZIAL.IT,NO,NO,SI,16,0,SI,SI,5.0,0,-8.74,117.5333,Villa Lagarina,38060
332,MALGA PALU' AGRITUR,LOCALITÀ VEZZENA CIVICO 15,3487457944,2015,paolo.lorenzini1977@pec.agritel.it,,SI,SI,SI,0,0,SI,NO,2.0,0,0.0,0.0,Levico Terme,38056
333,MALGA FRATTE,LOCALITÀ PASSO VEZZENA,3475097650,2015,allaborba@pec.agritel.it,,SI,SI,SI,0,0,SI,NO,,0,0.0,0.0,Levico Terme,38056
334,ACETAIA DEL BALSAMICO TRENTINO,STRADA DI S. ZENO 2,0464550064,2015,acetaiapec@pec.it,www.acetaiadelbalsamico.it,NO,NO,SI,29,60,SI,SI,5.0,290,45.913028,10.8434084,Tenno,38060
335,AGRITURISMO NON SOLO MELE,"VIA 4 NOVEMBRE, 22",3286881804,2015,dominici.silvano@cia.legalmail.it,www.agriturnonsolomele.com,NO,NO,NO,10,0,NO,SI,4.0,0,46.3954195,11.0650743,Novella,38021
336,AGRITURISMO FATTORIA ATHABASKA,LOCALITÀ DEGGIA CIVICO9,3331328490,2015,cattafestass@pec.tn.it,www.athabaska.info,NO,SI,SI,6,0,SI,SI,3.0,619,0.0,0.0,San Lorenzo Dorsino,38078
337,VERDECRUDO,LOCALITÀ MASO MURARI 1,3405624737,2015,paolo.labanca@pec.agritel.it,www.verdecrudo.it,NO,NO,NO,7,20,SI,SI,4.0,480,47.27541,8.4897,Calceranica al Lago,38050
338,AGRITUR BY AGRINATUR PARK,VIA MENDOLA 75,3405342112,2015,giancarlo.abram@pec.it,,NO,NO,SI,10,10,SI,SI,3.0,1084,46.4266897,11.1538782,Ronzone,38010
339,AGRITUR BELSOGNO,FRAZIONE SALOBBI CIVICO 6,0463874170,2015,menghini.pietro@cia.legalmail.it,,NO,NO,NO,15,0,NO,SI,4.0,800,26.66667,87.16667,Novella,38021
340,AGRITUR MALGA COREDO ZUOL,LOCALITÀ MALGA NUOVA ZUOL,3282841400,2015,azsanromedio@cia.legalmail.it,,SI,SI,SI,0,50,SI,NO,,0,0.0,0.0,Predaia,38012
341,AGRITUR MALGA RODEZA,LOCALITÀ MALGA RODEZA,3282841400,2017,azsanromedio@cia.legalmail.it,,SI,SI,SI,0,60,SI,NO,3.0,0,0.0,0.0,Predaia,38012
342,AGRITUR MASO TEZZA,VIA MASO TEZZA 2,3406135628,2015,masotezza@pec.it,,NO,NO,NO,7,0,NO,NO,2.0,0,47.28167,8.45023,Telve,38050
343,AGRITUR PISANI,FRAZIONE SALOBBI CIVICO 7,3465761106,2015,pisaniaziendaagricola@pec.it,www.agriturpisani.com,NO,NO,NO,10,0,NO,SI,2.0,0,0.0,0.0,Novella,38021
344,AGRITUR LA SABBIONARA,VIA SABBIONARE 6,3291237272,2015,zambonisas@pec.agritel.it,,NO,SI,NO,10,25,NO,SI,4.0,0,46.0141677,11.1995579,Altopiano della Vigolana,38049
345,AGRITURISMO VALLAROM,VIA MASI 21,3357787324,2015,vallarom@pec.it,,NO,NO,SI,8,25,SI,SI,5.0,0,-0.918,120.2631,Avio,38063
346,AGRITUR AI MOLINI,VIA AI MOLINI 8,3405756464,2016,zenimassimo@pec.it,,NO,NO,NO,10,0,NO,SI,3.0,595,41.06104,15.23156,San Michele all'Adige,38010
347,AGRITUR CONCETTA,VIA MONTE CREINO 52,3455057478,2016,mazzucchiiginio@legalmail.it,,NO,SI,SI,14,46,SI,SI,2.0,0,45.8887991,10.947777,Ronzo-Chienis,38060
348,AGRITUR CAMPO FIORITO,VIA MASI DI SOPRA 9/2,3456010996,2016,ermes.bolognani@pec.agritel.it,www.campofiorito.net,NO,NO,NO,7,40,NO,SI,2.0,0,45.9647307,10.9774569,Cavedine,38073
349,GOLDEN PAUSE,VIA G. VERDI N. 16 - FRAZ. TOSS,0461657688,2016,goldenpause@pec.it,,NO,NO,NO,22,0,NO,SI,4.0,475,47.4789,8.70215,Ton,38010
350,AGRICAVEDINE,VIA FAITELLI 6,0461568662,2016,valentino.bellinilucini@pec.coldiretti.it,,NO,NO,NO,4,0,NO,SI,4.0,0,45.9958017,10.9717731,Cavedine,38073
351,MALGA CAINO,LOCALITÀ CAINO,3661974965,2016,anna.bresciani@pec.agritel.it,,SI,SI,SI,0,30,NO,NO,4.0,0,45.60939,10.31317,Borgo Chiese,38083
352,MALGA CANALI,LOCALITÀ MALGA CANALI,0043964491,2016,giovanni.turra@pec.agritel.it,,SI,SI,NO,0,50,NO,NO,2.0,0,40.90847,15.0183,Primiero San Martino di Castrozza,38054
353,AGRITUR PIASINA,VIA TRESSELUME 31,3351017632,2016,delladio.nicoletta@pec.it,www.agriturpiasina.it,NO,SI,NO,17,0,NO,SI,4.0,980,46.2834571,11.5248395,Tesero,38038
354,AGRITUR SIMONI,PIAZZA DEGLI ALPINI 13,0461684381,2016,simoniferrucciomichele@pec.agritel.it,,NO,NO,NO,0,25,SI,NO,2.0,0,46.1582629,11.1405538,Giovo,38030
355,EN GALAVRA,LOCALITÀ POIA,3468764684,2016,engalavra@pec.agritel.it,,NO,SI,SI,0,0,NO,NO,2.0,0,46.0270035,10.8788665,Comano Terme,38077
356,AGRITUR IELLICI MARIA TERESA DI SARDAGNA ALBINO,VIA AVISIO 26,3497461056,2016,albino.sardagna@pec.agritel.it,,NO,SI,NO,19,0,NO,NO,2.0,0,46.2794152,11.4364763,Castello-Molina di Fiemme,38030
357,MALGA PREGHENA,LOC. MALGA PREGHENA,3384553275,2016,agriturservis@pec.it,,SI,SI,SI,0,60,SI,NO,3.0,0,46.40926,11.01238,Bresimo,38020
358,MASO MARINI,LOC. MASO MARINI  VIA DEGLI ALTIPIANI,3491895620,2016,mattia.micheloni@pec.agritel.it,,NO,NO,NO,8,0,NO,SI,3.0,0,0.0,0.0,Calceranica al Lago,38050
359,AGRITUR GRAIFF VALERIA,VIA AL SANT 19,0463875240,2016,valeria.graiff@legalimail.it,,NO,NO,NO,9,0,NO,NO,1.0,0,46.3929483,11.1166796,Romeno,38010
360,AGRITUR VIN E AMOR,VIA DEI COLLI 2/A,0461421230,2016,soc.martinuzzi@pec.agritel.it,,NO,NO,NO,25,0,SI,SI,,0,45.9562769,10.9038432,Dro,38074
361,AGRITUR LE CAVADE,LOCALITÀ CAVADE 1,0328289922,2016,soc.toniolli.rts@pec.it,,NO,NO,NO,15,50,SI,SI,4.0,0,47.27541,8.4897,Cembra Lisignago,38034
362,FATTORIA DIDATTICA IL LEPROTTO BISESTILE,VIA CASTAGNÈ 12,3332192999,2016,illeprottobisestile@pec.coldiretti.it,,NO,SI,SI,0,0,SI,NO,2.0,0,46.006036,11.2299607,Altopiano della Vigolana,38049
363,AGRITUR CRISTINA,SMARANO VIALE MERLONGA 11 - ,0463536815,2016,alberto.brentari@pec.agritel.it,,NO,NO,NO,27,0,NO,SI,4.0,0,46.3481278,11.1083859,Predaia,38012
364,MALGA TOVRE,LOCALITÀ PRADEL,3297921809,2016,masopisoni@pec.agritel.it,,SI,SI,SI,0,80,SI,NO,2.0,0,0.0,0.0,Molveno,38018
365,MALGA GIUMELLA BASSA,LOC. VAL GIUMELLA,0335308259,2016,chenettisilvano@pec.coldiretti.it,,SI,SI,NO,0,40,NO,NO,2.0,0,0.0,0.0,Pozza di fassa,38036
366,AGRITURISMO IL MELOGRANO,VIA SAN SISTO 42,3343847113,2016,placido.flessati@pec.agritel.it,,NO,NO,NO,20,0,NO,NO,2.0,0,45.9104747,10.8775792,Arco,38062
367,ALTOGARDA AGRICAMP,VIA MANTOVA 35,3391249553,2016,virgilio.agnolin@cia.legalmail.it,,NO,NO,NO,0,0,NO,NO,2.0,0,45.9093426,10.8793658,Arco,38062
368,AGRITUR STEFENELLI,VIA SCUOLE 54,3332436394,2017,tullio.stefenelli@pec.agritel.it,,NO,NO,NO,10,0,NO,SI,2.0,0,45.8770853,10.8934261,Nago-Torbole,38069
369,AGRITUR MALGA PIE’,STRADA DE PALUA 22,3884665334,2016,malgapie@pec.agritel.it,www.malgapie.it,NO,SI,NO,18,30,NO,SI,2.0,0,46.3895775,11.6643831,Soraga di Fassa,38030
370,AGRITUR DAL FIOR LA CASA NEL BOSCO,MASO TESOBBO 11,3493567916,2016,stefania.dalfior@cia.legalmail.it,www.montetesobo.it;,NO,NO,SI,10,0,NO,SI,5.0,0,46.0517216,11.4012648,Roncegno terme,38050
371,AGRITUR MASO DORECH,LOCALITÀ DORECH,0461654255,2016,ristoranteviola@pec.it,,NO,NO,NO,0,20,SI,NO,2.0,0,0.0,0.0,Cavedago,38010
372,AGRITURISMO FLORANDONOLE,VIA AI DOSSI 22,3486107719,2016,agreenatural@mailboxpec.it,www.florandonole.it,NO,NO,NO,18,20,SI,SI,4.0,0,46.1800282,11.0726539,Fai della Paganella,38010
373,AZIENDA AGRICOLA GOSTNER ROBERTO,VIA DI VESPIAI 35,3402753987,2013,az.agr.robertogostner@pec.it,,NO,SI,SI,0,0,SI,NO,2.0,0,45.9637103,10.9604896,Drena,38074
374,AZIENDA AGRICOLA FEDEL MONICA,VIA DEL CADROBOL 32,3922828151,2016,garnivillalory@lamiapec.it ,,NO,NO,SI,0,0,NO,NO,2.0,0,46.1224846,11.2518256,Baselga di Pinè,38042
375,MALGA SASS,LOCALITA’ MALGA SASS,3922828151,2021,garnivillalory@lamiapec.it ,,SI,NO,SI,13,60,NO,SI,4.0,0,0.0,0.0,Valfloriana,38040
376,AGRITUR MALGA STABLAZ,LOCALITÀ STABLAZ CIVICO 1,3466810762,2016,ghirardini-anto@pec.it,,SI,SI,NO,8,60,NO,SI,2.0,0,47.27541,8.4897,Rabbi,38020
377,MALGA PALA,LOCALITÀ MALGA PALA – TONADICO,3402761031,2016,societaturra@pec.agritel.it,,SI,SI,NO,0,20,NO,NO,2.0,0,46.18111,11.83939,Primiero San Martino di Castrozza,38054
378,AGRITUR ALLE FONTANE,VIA LAGHEL 19,3476709276,2016,c.well@pec.iol.it,,NO,NO,SI,4,0,NO,NO,2.0,0,45.9236235,10.8862456,Arco,38062
379,AGRITUR MASO TAIS,LOCALITÀ TAIS,0461421230,2016,katia.iacconi@cia.legalmail.it,,SI,SI,SI,7,25,NO,SI,2.0,0,0.0,0.0,Primiero San Martino di Castrozza,38054
380,AGRITURISMO MALGA PLETZN,LOCALITÀ PLETZN DI VALCAVA,3488163490,2016,starbersntol@cia.legalmail.it,,SI,SI,NO,2,30,SI,SI,3.0,0,45.78416,9.51201,Fierozzo,38050
381,CALLIARIFIORI,VIA DEGASPERI 2,0464410443,2016,calliarifiori@pec.it,,NO,NO,SI,0,0,NO,NO,2.0,0,45.9195933,11.058282,Volano,38060
382,MASETTO EGIDIO,VIA DELLA RODA 6,3336323930,2016,enegygarden@pec.it,,NO,NO,NO,9,0,NO,SI,,0,46.0577425,11.5231529,Castel Ivano,38059
383,AGRITUR WEISS,STRADA DE SORA POZAT 11,3384340696,2016,weiss@pec.agritel.it,,NO,SI,NO,19,25,NO,SI,3.0,0,0.0,0.0,Vigo di fassa,38039
384,MAS DEI CHINI,VIA BASSANO 3,3356879379,2016,lachicadino@legalmail.it,,NO,NO,SI,20,60,SI,SI,4.0,0,46.0866753,11.1254478,Trento,38121
385,AGRITUR I COLORI,VIA DI S. GIOVANNI NEPUMICENO 23,3492977264,2016,fabrizio.zadra@pec.it,,NO,NO,NO,14,0,NO,SI,4.0,0,0.0,0.0,Sanzeno,38010
386,AGRITUR CASANOVA,VIA XXIV MAGGIO 77,3281570139,2016,riccardo.casanova@pec.agritel.it,,NO,SI,SI,0,0,SI,NO,2.0,0,46.3631491,10.6730462,Peio,38024
387,AGRITUR MAS DEL SARO,LOCALITÀ MAS DEL SARO 1,3427264291,2016,vea.carpi@pec.it,,NO,SI,SI,0,20,NO,NO,4.0,925,47.27541,8.4897,Sant'Orsola Terme,38050
388,AGRITUR ALLE GORGHE,STRADA ALLE GORGHE 17,0461448268,2017,agri_gorghe@pec.it,,NO,NO,NO,0,30,NO,NO,3.0,0,46.1317785,11.1394211,Trento,38121
389,MASO AL SOLE,STRADA AVISIO 25,3402301441,2015,masoalsole@pec.it,,NO,NO,SI,9,20,NO,SI,,0,46.0907688,11.1987323,Civezzano,38045
390,AGRITUR MARTINELLI MONICA,VIA GALILEI 8,3887583005,2017,monica.martinelli@pec.it,,NO,NO,NO,8,0,NO,NO,2.0,0,45.8855546,10.9441764,Ronzo-Chienis,38060
391,AGRITUR DARIAL,VIA CAVADA 61,0462814705,2016,agriturdarial@pec.it,www.agriturdarial.it,NO,NO,SI,12,0,NO,SI,,0,46.2897732,11.5114569,Tesero,38038
392,AGRITUR TREFRUTTI,VIA FIBBIE 1/B,3314267827,2017,pia.dallape@pec.agritel.it,,NO,NO,NO,12,0,NO,NO,2.0,0,41.66667,2.0,Arco,38062
